"","Dimension","lambda","ESS","ESS.sec","AR"
"113",4,NA,471.849990000269,898.156428135537,0.126
"114",4,NA,304.02470696081,589.879789237582,0.111
"115",4,NA,383.082327014162,713.725777295833,0.0898
"116",4,NA,293.536837501824,550.113796191977,0.0739
"117",4,NA,227.210970611703,387.691043357712,0.0585
"118",4,NA,251.959376803016,475.737918636306,0.0547
"119",4,NA,188.811431597441,349.545262373223,0.0463
"120",4,NA,190.137036147295,356.761342213937,0.0458
"121",4,NA,1.47656497790995,2.7401736591432,0.999
"122",4,NA,42.0545049185358,77.2672799350261,0.8867
"123",4,NA,153.423577740015,294.963667645404,0.7802
"124",4,NA,289.848138360227,500.471446638905,0.6606
"125",4,NA,412.129517410458,786.331149254358,0.5532
"126",4,NA,535.047835370814,1033.29966410254,0.4746
"127",4,NA,603.818148318512,1160.59706013103,0.3927
"128",4,NA,596.633330314915,1147.38761337564,0.3342
"129",4,NA,612.493691406384,1172.51271553575,0.2589
"130",4,NA,616.6582823669,1169.50164717369,0.2267
"131",4,NA,570.630593368967,1072.43449639579,0.1864
"132",4,NA,502.371300193018,979.252593079175,0.1589
"133",4,NA,457.142563450495,854.914649849524,0.1279
"134",4,NA,453.736411324504,874.170065751487,0.1077
"135",4,NA,336.845641617404,644.245235199393,0.0982
"136",4,NA,305.130258095404,510.481005498695,0.0771
"137",4,NA,275.361643363158,536.822710854728,0.0656
"138",4,NA,272.935480425417,511.490646718732,0.0558
"139",4,NA,210.725047363083,398.710058980274,0.0464
"140",4,NA,170.837456003766,321.324747145104,0.038
"141",4,NA,3.94962698507472,7.54533263949962,0.999
"142",4,NA,47.462350071229,90.9522776059343,0.8866
"143",4,NA,167.629604343938,321.269157755148,0.7721
"144",4,NA,303.269348456613,582.269508170959,0.6572
"145",4,NA,398.541352109623,750.834372706447,0.5614
"146",4,NA,547.816739493344,1064.03391155173,0.4733
"147",4,NA,582.699561512503,1114.32507565184,0.4004
"148",4,NA,607.364024019117,1043.03597970794,0.3276
"149",4,NA,584.812110780443,1126.52966183387,0.2675
"150",4,NA,668.646687253908,1261.83315813155,0.2292
"151",4,NA,569.220950316224,1094.89968998453,0.1905
"152",4,NA,510.587097954955,933.423196698286,0.1587
"153",4,NA,444.114238985973,853.758981729866,0.1243
"154",4,NA,404.508164022777,742.853331941025,0.1078
"155",4,NA,313.194738376652,592.692663656121,0.0994
"156",4,NA,313.657283348432,591.268415448186,0.0767
"157",4,NA,216.545781684204,414.044715163797,0.0636
