"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"109",2,9,0.277777777777778,5469.64580934255,607.738423260284,0.9803
"110",2,10,0.25,5942.56579886869,594.256579886869,0.982
"111",2,11,0.227272727272727,5926.575316412,538.779574219272,0.9865
"112",2,12,0.208333333333333,5383.81491016696,448.651242513913,0.986
"113",2,13,0.192307692307692,4841.11381048299,372.393370037153,0.9912
"114",2,14,0.178571428571429,5390.44001434126,385.031429595805,0.9931
"115",2,15,0.166666666666667,5500.07887501209,366.671925000806,0.9924
"116",2,16,0.15625,5991.62909398382,374.476818373989,0.9926
"117",2,17,0.147058823529412,5286.8240085036,310.989647559035,0.9943
"118",2,18,0.138888888888889,5568.66353046718,309.370196137065,0.9949
"119",2,19,0.131578947368421,5296.20826750118,278.747803552694,0.995
"120",2,20,0.125,5848.82073512451,292.441036756226,0.9973
"121",4,1,2.5,0,0,0
"122",4,2,1.25,213.373536161323,106.686768080661,0.0773
"123",4,3,0.833333333333333,2320.23276562193,773.410921873977,0.5438
"124",4,4,0.625,3656.26411618709,914.066029046772,0.7581
"125",4,5,0.5,4481.90642365458,896.381284730917,0.8686
"126",4,6,0.416666666666667,5151.13138044104,858.521896740173,0.9196
"127",4,7,0.357142857142857,5125.33174716514,732.19024959502,0.9396
"128",4,8,0.3125,5233.23998924797,654.154998655996,0.9597
"129",4,9,0.277777777777778,5395.70183055305,599.522425617006,0.9644
"130",4,10,0.25,5712.56886132032,571.256886132032,0.9719
"131",4,11,0.227272727272727,5252.48789289836,477.498899354396,0.9781
"132",4,12,0.208333333333333,5892.77338313831,491.064448594859,0.9789
"133",4,13,0.192307692307692,5571.12630430643,428.54817725434,0.9843
"134",4,14,0.178571428571429,5426.57382030619,387.612415736156,0.987
"135",4,15,0.166666666666667,5196.38537798274,346.425691865516,0.9883
"136",4,16,0.15625,5044.07998502349,315.254999063968,0.9908
"137",4,17,0.147058823529412,5188.40548575777,305.200322691634,0.9912
"138",4,18,0.138888888888889,5269.94567560726,292.774759755959,0.9908
"139",4,19,0.131578947368421,5622.75259120062,295.934346905296,0.9927
